ID,Wedstrijd,Starttijd,Thuisploeg,Uitploeg,Vraag,Keuze,Kans
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Ja,1.71,24-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Nee,2.14,28-03-2024 14:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,1,1.65,29-03-2024 20:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,Gelijkspel,3.96,28-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,2,4.7,27-03-2024 08:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Meer dan (2.5),1.69,28-03-2024 14:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Onder (2.5),2.17,28-03-2024 14:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,1,1.71,25-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,Gelijkspel,4,29-03-2024 20:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,2,4.2,25-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Ja,1.68,29-03-2024 20:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Ja,1.73,28-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Nee,2.1,28-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,1,1.67,27-03-2024 08:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,Gelijkspel,3.89,27-03-2024 08:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Meer dan (2.5),1.72,27-03-2024 20:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Onder (2.5),2.12,27-03-2024 20:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Ja,1.74,27-03-2024 20:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Nee,2.09,27-03-2024 20:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,1,1.64,28-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,2,4.8,28-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Meer dan (2.5),1.71,28-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Onder (2.5),2.14,28-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Ja,1.67,28-03-2024 14:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,Gelijkspel,4.1,29-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,2,4.9,29-03-2024 20:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Nee,2.18,29-03-2024 20:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,1,1.63,29-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,Gelijkspel,4.2,29-03-2024 14:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,2,5,28-03-2024 20:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Meer dan (2.5),1.63,28-03-2024 20:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Onder (2.5),2.28,28-03-2024 20:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Ja,1.79,29-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Nee,2.02,29-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,2,5.1,29-03-2024 14:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Meer dan (2.5),1.76,29-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Onder (2.5),2.06,29-03-2024 08:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Ja,1.66,29-03-2024 14:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Nee,2.15,29-03-2024 14:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,1,1.61,29-03-2024 14:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Meer dan (2.5),1.65,29-03-2024 20:00:01
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Onder (2.5),2.24,29-03-2024 20:00:01
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Ja,1.62,24-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Nee,2.3,24-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,1,2.7,28-03-2024 08:00:01
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,Gelijkspel,3.34,29-03-2024 08:00:01
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,2,2.5,24-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Meer dan (2.5),1.78,24-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Onder (2.5),2.04,24-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Ja,1.69,25-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Nee,2.17,25-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,1,2.57,25-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,Gelijkspel,3.55,25-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,2,2.51,28-03-2024 14:00:01
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Meer dan (2.5),1.83,30-03-2024 14:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Onder (2.5),1.97,30-03-2024 14:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Ja,1.64,27-03-2024 14:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Nee,2.25,27-03-2024 14:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,Gelijkspel,3.31,28-03-2024 08:00:01
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Meer dan (2.5),1.81,27-03-2024 14:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Onder (2.5),2,27-03-2024 14:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Ja,1.65,30-03-2024 14:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Nee,2.24,30-03-2024 14:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Meer dan (2.5),1.82,29-03-2024 14:00:01
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Onder (2.5),1.98,29-03-2024 14:00:01
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,1,2.71,29-03-2024 20:00:01
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,Gelijkspel,3.3,28-03-2024 14:00:01
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,1,2.73,29-03-2024 08:00:01
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,2,2.57,29-03-2024 14:00:01
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,1,2.74,29-03-2024 14:00:01
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,Gelijkspel,3.33,29-03-2024 14:00:01
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,Gelijkspel,3.32,30-03-2024 08:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,2,2.6,29-03-2024 20:00:01
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Ja,1.66,30-03-2024 08:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Nee,2.22,30-03-2024 08:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,1,2.89,30-03-2024 08:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,2,2.45,30-03-2024 08:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,1,2.92,30-03-2024 14:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,Gelijkspel,3.35,30-03-2024 14:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,2,2.41,30-03-2024 14:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Ja,,30-03-2024 20:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Nee,,30-03-2024 20:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,1,26,30-03-2024 20:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,Gelijkspel,4.35,30-03-2024 20:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,2,1.25,30-03-2024 20:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Meer dan (3.5),2.75,30-03-2024 20:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Onder (3.5),1.4,30-03-2024 20:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Beide teams zullen scoren,Ja,1.67,25-03-2024 00:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Beide teams zullen scoren,Nee,2.2,25-03-2024 00:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,1,2.31,28-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,Gelijkspel,3.59,25-03-2024 00:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,2,2.79,25-03-2024 00:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Totaal Aantal Goals,Meer dan (2.5),1.78,26-03-2024 12:57:25
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Totaal Aantal Goals,Onder (2.5),2.04,26-03-2024 12:57:25
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Beide teams zullen scoren,Ja,1.63,30-03-2024 14:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Beide teams zullen scoren,Nee,2.28,30-03-2024 14:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,Gelijkspel,3.37,28-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,2,2.94,28-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,Gelijkspel,3.36,30-03-2024 08:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,2,2.95,26-03-2024 12:57:25
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Totaal Aantal Goals,Meer dan (2.5),1.74,28-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Totaal Aantal Goals,Onder (2.5),1.96,28-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Beide teams zullen scoren,Ja,1.64,29-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Beide teams zullen scoren,Nee,2.25,29-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,1,2.33,29-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,Gelijkspel,3.4,29-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,2,3.03,29-03-2024 20:00:01
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Totaal Aantal Goals,Meer dan (2.5),1.79,30-03-2024 08:00:02
