Evenement ID,Evenementnaam,Starttijd,Thuisteam,Uitteam,Marktnaam,Uitslag,Kansen
1-24117659,Royal Charleroi SC vs KRC Genk,2024-02-23T19:45:00.000000Z,Royal Charleroi SC,KRC Genk,Beide teams zullen scoren,Ja,1.66
1-24117659,Royal Charleroi SC vs KRC Genk,2024-02-23T19:45:00.000000Z,Royal Charleroi SC,KRC Genk,Beide teams zullen scoren,Nee,2.22
1-24117659,Royal Charleroi SC vs KRC Genk,2024-02-23T19:45:00.000000Z,Royal Charleroi SC,KRC Genk,Wedstrijduitslag,1,4.1
1-24117659,Royal Charleroi SC vs KRC Genk,2024-02-23T19:45:00.000000Z,Royal Charleroi SC,KRC Genk,Wedstrijduitslag,Gelijkspel,3.66
1-24117659,Royal Charleroi SC vs KRC Genk,2024-02-23T19:45:00.000000Z,Royal Charleroi SC,KRC Genk,Wedstrijduitslag,2,1.81
1-24117659,Royal Charleroi SC vs KRC Genk,2024-02-23T19:45:00.000000Z,Royal Charleroi SC,KRC Genk,Totaal Aantal Goals,Meer dan (2.5),1.72
1-24117659,Royal Charleroi SC vs KRC Genk,2024-02-23T19:45:00.000000Z,Royal Charleroi SC,KRC Genk,Totaal Aantal Goals,Onder (2.5),2.12
1-24123383,RWD Molenbeek 47 vs Oud-Heverlee Leuven,2024-02-24T15:00:00.000000Z,RWD Molenbeek 47,Oud-Heverlee Leuven,Beide teams zullen scoren,Ja,1.69
1-24123383,RWD Molenbeek 47 vs Oud-Heverlee Leuven,2024-02-24T15:00:00.000000Z,RWD Molenbeek 47,Oud-Heverlee Leuven,Beide teams zullen scoren,Nee,2.17
1-24123383,RWD Molenbeek 47 vs Oud-Heverlee Leuven,2024-02-24T15:00:00.000000Z,RWD Molenbeek 47,Oud-Heverlee Leuven,Wedstrijduitslag,1,2.7
1-24123383,RWD Molenbeek 47 vs Oud-Heverlee Leuven,2024-02-24T15:00:00.000000Z,RWD Molenbeek 47,Oud-Heverlee Leuven,Wedstrijduitslag,Gelijkspel,3.37
1-24123383,RWD Molenbeek 47 vs Oud-Heverlee Leuven,2024-02-24T15:00:00.000000Z,RWD Molenbeek 47,Oud-Heverlee Leuven,Wedstrijduitslag,2,2.48
1-24123383,RWD Molenbeek 47 vs Oud-Heverlee Leuven,2024-02-24T15:00:00.000000Z,RWD Molenbeek 47,Oud-Heverlee Leuven,Totaal Aantal Goals,Meer dan (2.5),1.86
1-24123383,RWD Molenbeek 47 vs Oud-Heverlee Leuven,2024-02-24T15:00:00.000000Z,RWD Molenbeek 47,Oud-Heverlee Leuven,Totaal Aantal Goals,Onder (2.5),1.94
1-24123983,Sint Truidense VV vs KVC Westerlo,2024-02-24T17:15:00.000000Z,Sint Truidense VV,KVC Westerlo,Beide teams zullen scoren,Ja,1.73
1-24123983,Sint Truidense VV vs KVC Westerlo,2024-02-24T17:15:00.000000Z,Sint Truidense VV,KVC Westerlo,Beide teams zullen scoren,Nee,2.1
1-24123983,Sint Truidense VV vs KVC Westerlo,2024-02-24T17:15:00.000000Z,Sint Truidense VV,KVC Westerlo,Wedstrijduitslag,1,2.06
1-24123983,Sint Truidense VV vs KVC Westerlo,2024-02-24T17:15:00.000000Z,Sint Truidense VV,KVC Westerlo,Wedstrijduitslag,Gelijkspel,3.56
1-24123983,Sint Truidense VV vs KVC Westerlo,2024-02-24T17:15:00.000000Z,Sint Truidense VV,KVC Westerlo,Wedstrijduitslag,2,3.3
1-24123983,Sint Truidense VV vs KVC Westerlo,2024-02-24T17:15:00.000000Z,Sint Truidense VV,KVC Westerlo,Totaal Aantal Goals,Meer dan (2.5),1.85
1-24123983,Sint Truidense VV vs KVC Westerlo,2024-02-24T17:15:00.000000Z,Sint Truidense VV,KVC Westerlo,Totaal Aantal Goals,Onder (2.5),1.95
1-24124366,KV Mechelen vs KV Kortrijk,2024-02-24T19:45:00.000000Z,KV Mechelen,KV Kortrijk,Beide teams zullen scoren,Ja,1.86
1-24124366,KV Mechelen vs KV Kortrijk,2024-02-24T19:45:00.000000Z,KV Mechelen,KV Kortrijk,Beide teams zullen scoren,Nee,1.94
1-24124366,KV Mechelen vs KV Kortrijk,2024-02-24T19:45:00.000000Z,KV Mechelen,KV Kortrijk,Wedstrijduitslag,1,1.6
1-24124366,KV Mechelen vs KV Kortrijk,2024-02-24T19:45:00.000000Z,KV Mechelen,KV Kortrijk,Wedstrijduitslag,Gelijkspel,3.97
1-24124366,KV Mechelen vs KV Kortrijk,2024-02-24T19:45:00.000000Z,KV Mechelen,KV Kortrijk,Wedstrijduitslag,2,5.2
1-24124366,KV Mechelen vs KV Kortrijk,2024-02-24T19:45:00.000000Z,KV Mechelen,KV Kortrijk,Totaal Aantal Goals,Meer dan (2.5),1.82
1-24124366,KV Mechelen vs KV Kortrijk,2024-02-24T19:45:00.000000Z,KV Mechelen,KV Kortrijk,Totaal Aantal Goals,Onder (2.5),1.98
1-24129202,Club Brugge vs RSC Anderlecht,2024-02-25T12:30:00.000000Z,Club Brugge,RSC Anderlecht,Beide teams zullen scoren,Ja,1.7
1-24129202,Club Brugge vs RSC Anderlecht,2024-02-25T12:30:00.000000Z,Club Brugge,RSC Anderlecht,Beide teams zullen scoren,Nee,2.15
1-24129202,Club Brugge vs RSC Anderlecht,2024-02-25T12:30:00.000000Z,Club Brugge,RSC Anderlecht,Wedstrijduitslag,1,1.66
1-24129202,Club Brugge vs RSC Anderlecht,2024-02-25T12:30:00.000000Z,Club Brugge,RSC Anderlecht,Wedstrijduitslag,Gelijkspel,3.9
1-24129202,Club Brugge vs RSC Anderlecht,2024-02-25T12:30:00.000000Z,Club Brugge,RSC Anderlecht,Wedstrijduitslag,2,4.7
1-24129202,Club Brugge vs RSC Anderlecht,2024-02-25T12:30:00.000000Z,Club Brugge,RSC Anderlecht,Totaal Aantal Goals,Meer dan (2.5),1.69
1-24129202,Club Brugge vs RSC Anderlecht,2024-02-25T12:30:00.000000Z,Club Brugge,RSC Anderlecht,Totaal Aantal Goals,Onder (2.5),2.17
1-24129957,KAA Gent vs Royal Antwerp FC,2024-02-25T15:00:00.000000Z,KAA Gent,Royal Antwerp FC,Beide teams zullen scoren,Ja,1.66
1-24129957,KAA Gent vs Royal Antwerp FC,2024-02-25T15:00:00.000000Z,KAA Gent,Royal Antwerp FC,Beide teams zullen scoren,Nee,2.22
1-24129957,KAA Gent vs Royal Antwerp FC,2024-02-25T15:00:00.000000Z,KAA Gent,Royal Antwerp FC,Wedstrijduitslag,1,2.27
1-24129957,KAA Gent vs Royal Antwerp FC,2024-02-25T15:00:00.000000Z,KAA Gent,Royal Antwerp FC,Wedstrijduitslag,Gelijkspel,3.4
1-24129957,KAA Gent vs Royal Antwerp FC,2024-02-25T15:00:00.000000Z,KAA Gent,Royal Antwerp FC,Wedstrijduitslag,2,2.97
1-24129957,KAA Gent vs Royal Antwerp FC,2024-02-25T15:00:00.000000Z,KAA Gent,Royal Antwerp FC,Totaal Aantal Goals,Meer dan (2.5),1.81
1-24129957,KAA Gent vs Royal Antwerp FC,2024-02-25T15:00:00.000000Z,KAA Gent,Royal Antwerp FC,Totaal Aantal Goals,Onder (2.5),2
1-24130496,Royale Union Saint-Gilloise vs Standard Liege,2024-02-25T17:30:00.000000Z,Royale Union Saint-Gilloise,Standard Liege,Beide teams zullen scoren,Ja,2
1-24130496,Royale Union Saint-Gilloise vs Standard Liege,2024-02-25T17:30:00.000000Z,Royale Union Saint-Gilloise,Standard Liege,Beide teams zullen scoren,Nee,1.81
1-24130496,Royale Union Saint-Gilloise vs Standard Liege,2024-02-25T17:30:00.000000Z,Royale Union Saint-Gilloise,Standard Liege,Wedstrijduitslag,1,1.38
1-24130496,Royale Union Saint-Gilloise vs Standard Liege,2024-02-25T17:30:00.000000Z,Royale Union Saint-Gilloise,Standard Liege,Wedstrijduitslag,Gelijkspel,4.8
1-24130496,Royale Union Saint-Gilloise vs Standard Liege,2024-02-25T17:30:00.000000Z,Royale Union Saint-Gilloise,Standard Liege,Wedstrijduitslag,2,7.3
1-24130496,Royale Union Saint-Gilloise vs Standard Liege,2024-02-25T17:30:00.000000Z,Royale Union Saint-Gilloise,Standard Liege,Totaal Aantal Goals,Meer dan (2.5),1.71
1-24130496,Royale Union Saint-Gilloise vs Standard Liege,2024-02-25T17:30:00.000000Z,Royale Union Saint-Gilloise,Standard Liege,Totaal Aantal Goals,Onder (2.5),2.14
1-24130609,KAS Eupen vs Cercle Brugge KSV,2024-02-25T18:15:00.000000Z,KAS Eupen,Cercle Brugge KSV,Beide teams zullen scoren,Ja,1.75
1-24130609,KAS Eupen vs Cercle Brugge KSV,2024-02-25T18:15:00.000000Z,KAS Eupen,Cercle Brugge KSV,Beide teams zullen scoren,Nee,2.08
1-24130609,KAS Eupen vs Cercle Brugge KSV,2024-02-25T18:15:00.000000Z,KAS Eupen,Cercle Brugge KSV,Wedstrijduitslag,1,4.5
1-24130609,KAS Eupen vs Cercle Brugge KSV,2024-02-25T18:15:00.000000Z,KAS Eupen,Cercle Brugge KSV,Wedstrijduitslag,Gelijkspel,4
1-24130609,KAS Eupen vs Cercle Brugge KSV,2024-02-25T18:15:00.000000Z,KAS Eupen,Cercle Brugge KSV,Wedstrijduitslag,2,1.67
1-24130609,KAS Eupen vs Cercle Brugge KSV,2024-02-25T18:15:00.000000Z,KAS Eupen,Cercle Brugge KSV,Totaal Aantal Goals,Meer dan (2.5),1.74
1-24130609,KAS Eupen vs Cercle Brugge KSV,2024-02-25T18:15:00.000000Z,KAS Eupen,Cercle Brugge KSV,Totaal Aantal Goals,Onder (2.5),2.09
