ID, Ploegnaam, Stamnummer, Roepnaam
1096,Antwerp FC,1,Royal Antwerp FC
1096,R Antwerp FC,1,Royal Antwerp FC
1096,Royal Antwerp FC,1,Royal Antwerp FC
44310,Daring Club,2,Daring Club Brussel
44310,Daring Club Brussel,2,Daring Club Brussel
44310,Daring Club de Bruxelles,2,Daring Club Brussel
2282,Club Brugge,3,Club Brugge
3159,RC Luik,4,RFC Luik
3159,RFC Liégeois,4,RFC Luik
3159,RFC Luik,4,RFC Luik
157,ARA Gent,7,KAA Gent
157,Association Royale Athlétique Gent,7,KAA Gent
157,KAA Gent,7,KAA Gent
3948,Union Saint-Gilloise,10,Union Saint-Gilloise
3948,Union SG,10,Union Saint-Gilloise
520,Cercle Brugge,12,Cercle Brugge
567,Beerschot AC,13,Beerschot
41274,Beerschot V.A.,13,Beerschot
567,Beerschot VAV,13,Beerschot
567,Royal Beerschot AC,13,Beerschot
567,VAC Beerschot,13,Beerschot
567,VAC Beerschot (- 1999),13,Beerschot
3057,Standard Luik,16,Standard Luik
2715,RFC Seraing,17,RFC Seraing
54426,RFC Seraing,17,RFC Seraing
54426,RFC Seraing (- 1996),17,RFC Seraing
2727,OH Leuven,18,Oud-Heverlee Leuven
2727,Oud-Heverlee Leuven,18,Oud-Heverlee Leuven
2727,Stade Leuven,18,Oud-Heverlee Leuven
601,KV Kortrijk,19,KV Kortrijk
65746,R. Tilleur FC,21,RFC Tilleur
65746,RFC Tilleur,21,RFC Tilleur
172,R Charleroi SC,22,R Charleroi SC
2336,Racing Mechelen,24,Racing Mechelen
354,KV Mechelen,25,KV Mechelen
3171,Berchem Sport,28,Berchem Sport
204,Lierse SK,30,Lierse SK
204,Lierse SK (- 2018),30,Lierse SK
2861,KV Oostende,31,KV Oostende
3105,Stade Verviétois,33,Verviétois
3105,Vervi tois,33,Verviétois
3105,Verviétois,33,Verviétois
58,RSC Anderlecht,35,RSC Anderlecht
22571,KSC Hasselt,37,KSC Hasselt
6836,KFC Diest,41,KFC Diest
1411,RAEC Mons,44,RAEC Mons
1411,RAEC Mons (- 2015),44,RAEC Mons
2973,Royal Racing White Brüssel,47,RWD Molenbeek
2973,RRC Br ssel,47,RWD Molenbeek
2973,RRC Brüssel,47,RWD Molenbeek
2973,RWD Molenbeek,47,RWD Molenbeek
2973,RWD Molenbeek (- 2002),47,RWD Molenbeek
3759,AS Oostende KM,53,AS Oostende KM
3077,KSK Tongeren,54,KSK Tongeren
3077,KSK Tongeren (- 2014),54,KSK Tongeren
3077,KSK Tongeren (-2014),54,KSK Tongeren
36585,R. Crossing Club de Schaerbeek,55,RCC Schaerbeek
36585,RCC Schaerbeek,55,RCC Schaerbeek
36585,Royal Crossing Club de Schaerbeek,55,RCC Schaerbeek
57299,Boom FC,58,Boom FC
1111,Eendracht Aalst,90,Eendracht Aalst
1111,KSC Eendracht Aalst,90,Eendracht Aalst
2180,La Louviere,94,La Louviere
2180,RAA La Louviere,94,La Louviere
2180,RAA La Louviere (- 2009),94,La Louviere
2180,RAAL La Louvière,94,La Louviere
2977,KSV Roeselare,134,KSV Roeselare
2977,KSV Roeselare (- 2020),134,KSV Roeselare
3230,KFC Turnhout,148,KFC Turnhout
29228,Moeskroen,216,Moeskroen
29228,Royal Excel Moeskroen,216,Moeskroen
29228,Royal Excel Moeskroen (-2022),216,Moeskroen
29228,Royal Moeskroen-Péruwelz,216,Moeskroen
63687,K. Sint-Niklase SK,221,K. Sint-Niklase SK
63687,K. St-Niklase SK,221,K. Sint-Niklase SK
1433,Exc. Mouscron,224,Excelsior Mouscron
1433,Excelsior Mouscron,224,Excelsior Mouscron
1433,Excelsior Mouscron (- 2009),224,Excelsior Mouscron
3146,Mont.-sur-Sambre,246,Olympic Charleroi
3146,Olymp. Charleroi,246,Olympic Charleroi
3146,Olympic Charleroi,246,Olympic Charleroi
3146,Royal Olympic Club de Montignies-sur-Sambre,246,Olympic Charleroi
498,KSC Lokeren,282,KSC Lokeren
498,KSC Lokeren (- 2020),282,KSC Lokeren
498,KSC Lokeren OV,282,KSC Lokeren
1184,KFC Winterslag,322,KRC Genk
1184,KRC Genk,322,KRC Genk
475,Sint-Truidense VV,373,Sint-Truidense VV
475,St-Truidense VV,373,Sint-Truidense VV
1749,KFC Verbroedering Geel,395,KFC Verbroedering Geel
1749,KFC Verbroedering Geel (- 2008),395,KFC Verbroedering Geel
1749,KFCV Geel,395,KFC Verbroedering Geel
62377,Beringen FC,522,Beringen FC
62377,Beringen FC (- 2002),522,Beringen FC
26514,K. Waterschei SV Thor,553,Waterschei SV Thor
26514,Waterschei SV Thor,553,Waterschei SV Thor
26514,Waterschei SV THOR (- 1988),553,Waterschei SV Thor
26514,Waterschei THOR,553,Waterschei SV Thor
2478,KRC Harelbeke,1615,KRC Harelbeke
3898,FC Brussel,1936,FC Brussels
3898,FC Brussels,1936,FC Brussels
3898,FC Molenbeek Brussel,1936,FC Brussels
3898,FC Molenbeek Brussel Strombeek,1936,FC Brussels
718,KFC Lommel SK (- 2003),1986,KFC Lommelse SK
718,KFC Lommelse SK,1986,KFC Lommelse SK
718,Lommel SK,1986,KFC Lommelse SK
968,KVC Westerlo,2024,KVC Westerlo
1073,KSK Beveren,2300,KSK Beveren
1073,KSK Beveren (- 2010),2300,KSK Beveren
1073,SK Beveren-Waes,2300,KSK Beveren
1417,Heusden-Zolder,2614,Heusden-Zolder
1417,Heusden-Zolder SK,2614,Heusden-Zolder
1417,K. Heusden-Zolder,2614,Heusden-Zolder
3225,K Patro Eisden,3434,Patro Eisden
3225,VV Patro Eisden,3434,Patro Eisden
566,Beerschot AC,3530,Germinal
566,Germ. Beerschot,3530,Germinal
566,Germinal Beerschot Antwerpen,3530,Germinal
566,Germinal Ekeren,3530,Germinal
566,K. Beerschot AC,3530,Germinal
9010,FCV Dender EH,3900,FCV Dender EH
28643,KVRS Waasland - SK Beveren,4068,Waasland-Beveren
28643,SK Beveren,4068,Waasland-Beveren
28643,Waasland-Beveren,4068,Waasland-Beveren
1245,KAS Eupen,4276,KAS Eupen
2456,KSV Waregem,4451,KSV Waregem
2456,KSV Waregem (- 2001),4451,KSV Waregem
3764,Racing Jet,4549,Racing Jet Brussel
3764,Racing Jet Brussel,4549,Racing Jet Brussel
3508,SV Zulte Waregem,5381,SV Zulte Waregem
3508,Zulte Waregem,5381,SV Zulte Waregem
54189,RWD Molenbeek,5479,RWDM
54189,RWDM,5479,RWDM
3772,AFC Tubize,5632,AFC Tubize
