ID,Wedstrijd,Starttijd,Thuisploeg,Uitploeg,Vraag,Keuze,Kans,Timestamp
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Ja,1.71,24-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Nee,2.14,25-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,1,1.65,23-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,Gelijkspel,3.96,23-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,2,4.7,27-03-2024 08:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Meer dan (2.5),1.69,25-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Onder (2.5),2.17,25-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,1,1.71,25-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,Gelijkspel,4,25-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,2,4.2,25-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Ja,1.68,25-03-2024 00:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Ja,1.73,27-03-2024 08:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Beide teams zullen scoren,Nee,2.1,27-03-2024 08:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,1,1.67,27-03-2024 08:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Wedstrijduitslag,Gelijkspel,3.89,27-03-2024 08:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Meer dan (2.5),1.72,27-03-2024 08:00:02
1-24368073,KAA Gent vs Standard Liege,2024-03-29T19:45:00.000000Z,KAA Gent,Standard Liege,Totaal Aantal Goals,Onder (2.5),2.12,27-03-2024 08:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Ja,1.62,24-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Nee,2.3,24-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,1,2.7,27-03-2024 08:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,Gelijkspel,3.34,24-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,2,2.5,24-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Meer dan (2.5),1.78,24-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Onder (2.5),2.04,24-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Ja,1.69,25-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Nee,2.17,25-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,1,2.57,25-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,Gelijkspel,3.55,25-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,2,2.51,27-03-2024 08:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Meer dan (2.5),1.83,25-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Onder (2.5),1.97,25-03-2024 00:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Ja,1.64,27-03-2024 08:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Beide teams zullen scoren,Nee,2.25,27-03-2024 08:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Wedstrijduitslag,Gelijkspel,3.31,27-03-2024 08:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Meer dan (2.5),1.81,27-03-2024 08:00:02
1-24373643,Oud-Heverlee Leuven vs KV Mechelen,2024-03-30T17:15:00.000000Z,Oud-Heverlee Leuven,KV Mechelen,Totaal Aantal Goals,Onder (2.5),2,27-03-2024 08:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Beide teams zullen scoren,Ja,1.67,25-03-2024 00:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Beide teams zullen scoren,Nee,2.2,25-03-2024 00:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,1,2.31,27-03-2024 08:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,Gelijkspel,3.59,25-03-2024 00:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,2,2.79,25-03-2024 00:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Totaal Aantal Goals,Meer dan (2.5),1.78,26-03-2024 12:57:25
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Totaal Aantal Goals,Onder (2.5),2.04,26-03-2024 12:57:25
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Beide teams zullen scoren,Ja,1.63,27-03-2024 08:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Beide teams zullen scoren,Nee,2.28,27-03-2024 08:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,Gelijkspel,3.37,27-03-2024 08:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,2,2.94,27-03-2024 08:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,Gelijkspel,3.36,26-03-2024 12:57:25
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Wedstrijduitslag,2,2.95,26-03-2024 12:57:25
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Totaal Aantal Goals,Meer dan (2.5),1.74,27-03-2024 08:00:02
1-24373988,RSC Anderlecht vs Royal Antwerp FC,2024-03-30T19:45:00.000000Z,RSC Anderlecht,Royal Antwerp FC,Totaal Aantal Goals,Onder (2.5),1.96,27-03-2024 08:00:02
1-24379531,Sint Truidense VV vs KVC Westerlo,2024-03-31T16:30:00.000000Z,Sint Truidense VV,KVC Westerlo,Beide teams zullen scoren,Ja,1.74,27-03-2024 08:00:02
1-24379531,Sint Truidense VV vs KVC Westerlo,2024-03-31T16:30:00.000000Z,Sint Truidense VV,KVC Westerlo,Beide teams zullen scoren,Nee,2.09,27-03-2024 08:00:02
1-24379531,Sint Truidense VV vs KVC Westerlo,2024-03-31T16:30:00.000000Z,Sint Truidense VV,KVC Westerlo,Wedstrijduitslag,1,2.25,26-03-2024 20:00:02
1-24379531,Sint Truidense VV vs KVC Westerlo,2024-03-31T16:30:00.000000Z,Sint Truidense VV,KVC Westerlo,Wedstrijduitslag,Gelijkspel,3.41,27-03-2024 08:00:02
1-24379531,Sint Truidense VV vs KVC Westerlo,2024-03-31T16:30:00.000000Z,Sint Truidense VV,KVC Westerlo,Wedstrijduitslag,2,3.01,26-03-2024 20:00:02
1-24379531,Sint Truidense VV vs KVC Westerlo,2024-03-31T16:30:00.000000Z,Sint Truidense VV,KVC Westerlo,Totaal Aantal Goals,Meer dan (2.5),1.91,27-03-2024 08:00:02
1-24379531,Sint Truidense VV vs KVC Westerlo,2024-03-31T16:30:00.000000Z,Sint Truidense VV,KVC Westerlo,Totaal Aantal Goals,Onder (2.5),1.89,27-03-2024 08:00:02
1-24379531,Sint Truidense VV vs KVC Westerlo,2024-03-31T16:30:00.000000Z,Sint Truidense VV,KVC Westerlo,Wedstrijduitslag,1,2.19,27-03-2024 08:00:02
1-24379531,Sint Truidense VV vs KVC Westerlo,2024-03-31T16:30:00.000000Z,Sint Truidense VV,KVC Westerlo,Wedstrijduitslag,2,3.11,27-03-2024 08:00:02
1-24384330,Cercle Brugge KSV vs Club Brugge,2024-04-01T11:30:00.000000Z,Cercle Brugge KSV,Club Brugge,Beide teams zullen scoren,Ja,1.65,27-03-2024 08:00:02
1-24384330,Cercle Brugge KSV vs Club Brugge,2024-04-01T11:30:00.000000Z,Cercle Brugge KSV,Club Brugge,Beide teams zullen scoren,Nee,2.24,27-03-2024 08:00:02
1-24384330,Cercle Brugge KSV vs Club Brugge,2024-04-01T11:30:00.000000Z,Cercle Brugge KSV,Club Brugge,Wedstrijduitslag,1,3.5,27-03-2024 08:00:02
1-24384330,Cercle Brugge KSV vs Club Brugge,2024-04-01T11:30:00.000000Z,Cercle Brugge KSV,Club Brugge,Wedstrijduitslag,Gelijkspel,3.55,27-03-2024 08:00:02
1-24384330,Cercle Brugge KSV vs Club Brugge,2024-04-01T11:30:00.000000Z,Cercle Brugge KSV,Club Brugge,Wedstrijduitslag,2,2,27-03-2024 08:00:02
1-24384330,Cercle Brugge KSV vs Club Brugge,2024-04-01T11:30:00.000000Z,Cercle Brugge KSV,Club Brugge,Totaal Aantal Goals,Meer dan (2.5),1.75,26-03-2024 00:00:02
1-24384330,Cercle Brugge KSV vs Club Brugge,2024-04-01T11:30:00.000000Z,Cercle Brugge KSV,Club Brugge,Totaal Aantal Goals,Onder (2.5),2.08,27-03-2024 08:00:02
1-24384330,Cercle Brugge KSV vs Club Brugge,2024-04-01T11:30:00.000000Z,Cercle Brugge KSV,Club Brugge,Totaal Aantal Goals,Meer dan (2.5),1.71,27-03-2024 08:00:02
1-24385817,KRC Genk vs Royale Union Saint-Gilloise,2024-04-01T16:30:00.000000Z,KRC Genk,Royale Union Saint-Gilloise,Beide teams zullen scoren,Ja,1.59,27-03-2024 08:00:02
1-24385817,KRC Genk vs Royale Union Saint-Gilloise,2024-04-01T16:30:00.000000Z,KRC Genk,Royale Union Saint-Gilloise,Beide teams zullen scoren,Nee,2.36,27-03-2024 08:00:02
1-24385817,KRC Genk vs Royale Union Saint-Gilloise,2024-04-01T16:30:00.000000Z,KRC Genk,Royale Union Saint-Gilloise,Wedstrijduitslag,1,2.72,27-03-2024 08:00:02
1-24385817,KRC Genk vs Royale Union Saint-Gilloise,2024-04-01T16:30:00.000000Z,KRC Genk,Royale Union Saint-Gilloise,Wedstrijduitslag,Gelijkspel,3.51,27-03-2024 08:00:02
1-24385817,KRC Genk vs Royale Union Saint-Gilloise,2024-04-01T16:30:00.000000Z,KRC Genk,Royale Union Saint-Gilloise,Wedstrijduitslag,2,2.39,27-03-2024 08:00:02
1-24385817,KRC Genk vs Royale Union Saint-Gilloise,2024-04-01T16:30:00.000000Z,KRC Genk,Royale Union Saint-Gilloise,Totaal Aantal Goals,Meer dan (2.5),1.7,27-03-2024 08:00:02
1-24385817,KRC Genk vs Royale Union Saint-Gilloise,2024-04-01T16:30:00.000000Z,KRC Genk,Royale Union Saint-Gilloise,Totaal Aantal Goals,Onder (2.5),2.15,27-03-2024 08:00:02